month_from_IPO,Snap Inc.,Facebook Inc.,Twitter Inc.
0,27.09,38.23,41.65
1,20.82,33.05,59.00
2,23.19,28.76,57.00
3,18.08,19.41,57.44
4,17.18,22.86,51.92
5,13.52,19.00,40.05
6,15.34,24.00,32.05
7,14.79,26.26,36.90
8,15.27,29.66,38.33
9,15.07,27.13,43.13
10,14.50,25.73,52.11
11,18.80,25.73,50.40
12,17.88,24.31,41.85
13,14.25,24.53,37.10
14,10.79,25.88,40.17
15,13.08,40.55,48.50
16,13.53,47.49,46.66
17,12.73,54.22,51.94
18,9.93,46.23,37.59
19,7.77,55.12,35.90
20,6.79,54.45,34.91
21,5.80,68.59,29.06
22,5.95,67.24,27.39
23,9.10,57.71,30.85
24,9.48,61.35,25.18
